Title,Bedrooms,Bathrooms,Parking,Floors,Road Access, Price (NPR) ,Area (sq.ft),Location
House for Sale,3,3,Available,3,14 ft," 23,420,000.00 ",2181,"Balkot, Suryabinayak-2, Bhaktapur"
House for Sale,4,3,Available,2,27 ft," 18,167,000.00 ",2005,"Dadhikot, Suryabinayak-4, Bhaktapur"
House for Sale,4,2,Available,2,22 ft," 24,878,000.00 ",2090,"Jhaukhel, Changunarayan-1, Bhaktapur"
House for Sale,4,2,Available,3,18 ft," 35,308,000.00 ",2006,"Sipadol, Suryabinayak-8, Bhaktapur"
House for Sale,3,3,Available,2,15 ft," 17,483,000.00 ",1543,"Bode, Madhyapur Thimi-8, Bhaktapur"
House for Sale,3,2,Available,1,28 ft," 17,483,000.00 ",1972,"Thimi, Madhyapur Thimi-5, Bhaktapur"
House for Sale,2,2,Available,3,14 ft," 36,111,000.00 ",2120,"Nagadesh, Madhyapur Thimi-4, Bhaktapur"
House for Sale,5,2,Not Available,1,26 ft," 26,099,000.00 ",2101,"Kamalbinayak, Bhaktapur-10, Bhaktapur"
House for Sale,4,1,Not Available,3,30 ft," 16,500,000.00 ",2275,"Byasi, Bhaktapur-5, Bhaktapur"
House for Sale,4,2,Available,2,18 ft," 23,854,000.00 ",2083,"Dattatreya, Bhaktapur-1, Bhaktapur"
House for Sale,2,2,Available,4,18 ft," 16,500,000.00 ",1940,"Kapan, Budhanilkantha-10, Kathmandu"
House for Sale,4,2,Available,2,31 ft," 16,500,000.00 ",2228,"Jorpati, Gokarneshwor-6, Kathmandu"
House for Sale,5,2,Available,2,28 ft," 21,151,000.00 ",1789,"Sundarijal, Gokarneshwor-1, Kathmandu"
House for Sale,3,4,Not Available,2,11 ft," 16,500,000.00 ",1447,"Sankhu, Shankharapur-5, Kathmandu"
House for Sale,3,3,Available,2,15 ft," 16,500,000.00 ",1734,"Pharping, Dakshinkali-7, Kathmandu"
House for Sale,3,3,Available,3,31 ft," 16,500,000.00 ",1502,"Tokha, Tokha-3, Kathmandu"
House for Sale,3,3,Available,4,10 ft," 16,500,000.00 ",1529,"Gongabu, Tokha-9, Kathmandu"
House for Sale,4,2,Not Available,2,29 ft," 21,772,000.00 ",1742,"Samakhusi, Kathmandu-26, Kathmandu"
House for Sale,3,1,Available,2,28 ft," 16,500,000.00 ",1483,"Balaju, Kathmandu-16, Kathmandu"
House for Sale,3,3,Available,3,9 ft," 16,500,000.00 ",1676,"Kalanki, Kathmandu-14, Kathmandu"
House for Sale,4,3,Available,3,31 ft," 34,507,000.00 ",1042,"Thankot, Chandragiri-4, Kathmandu"
House for Sale,3,3,Available,2,19 ft," 17,542,000.00 ",1885,"Naikap, Chandragiri-8, Kathmandu"
House for Sale,3,2,Available,2,13 ft," 19,726,000.00 ",1800,"Sitapaila, Nagarjun-4, Kathmandu"
House for Sale,3,2,Available,2,9 ft," 16,500,000.00 ",1473,"Goldhunga, Tarakeshwor-7, Kathmandu"
House for Sale,3,2,Available,3,28 ft," 16,500,000.00 ",2063,"Kirtipur, Kirtipur-10, Kathmandu"
House for Sale,4,2,Available,1,8 ft," 20,071,000.00 ",2175,"Chovar, Kirtipur-6, Kathmandu"
House for Sale,5,3,Available,3,19 ft," 16,500,000.00 ",1156,"Imadol, Mahalaxmi-4, Lalitpur"
House for Sale,4,3,Available,2,29 ft," 22,313,000.00 ",1494,"Lubhu, Mahalaxmi-8, Lalitpur"
House for Sale,4,2,Available,3,19 ft," 16,500,000.00 ",1492,"Tikathali, Mahalaxmi-5, Lalitpur"
House for Sale,2,5,Available,1,32 ft," 17,086,000.00 ",1424,"Harisiddhi, Lalitpur-28, Lalitpur"
House for Sale,4,3,Not Available,2,24 ft," 16,500,000.00 ",2131,"Satdobato, Lalitpur-15, Lalitpur"
House for Sale,3,2,Available,2,17 ft," 40,279,000.00 ",1722,"Lagankhel, Lalitpur-12, Lalitpur"
House for Sale,2,2,Available,3,23 ft," 19,097,000.00 ",1694,"Jawalakhel, Lalitpur-4, Lalitpur"
House for Sale,5,2,Available,1,22 ft," 16,500,000.00 ",998,"Pulchowk, Lalitpur-3, Lalitpur"
House for Sale,4,2,Available,2,22 ft," 26,680,000.00 ",2054,"Bungamati, Karyabinayak-4, Lalitpur"
House for Sale,5,2,Not Available,2,26 ft," 16,500,000.00 ",1304,"Khokana, Karyabinayak-5, Lalitpur"
House for Sale,3,2,Available,2,19 ft," 20,873,000.00 ",1823,"Godawari, Godawari-3, Lalitpur"
House for Sale,2,2,Not Available,3,30 ft," 16,500,000.00 ",1910,"Chapagaun, Godawari-12, Lalitpur"
House for Sale,4,2,Available,3,27 ft," 16,500,000.00 ",2344,"Balkot, Suryabinayak-1, Bhaktapur"
House for Sale,3,4,Available,3,32 ft," 20,773,000.00 ",1276,"Balkot, Suryabinayak-3, Bhaktapur"
House for Sale,3,1,Not Available,2,10 ft," 25,798,000.00 ",800,"Dadhikot, Suryabinayak-3, Bhaktapur"
House for Sale,3,3,Not Available,3,12 ft," 20,562,000.00 ",1873,"Dadhikot, Suryabinayak-5, Bhaktapur"
House for Sale,2,2,Not Available,2,26 ft," 18,332,000.00 ",2520,"Jhaukhel, Changunarayan-2, Bhaktapur"
House for Sale,5,5,Not Available,1,14 ft," 17,021,000.00 ",2295,"Sipadol, Suryabinayak-7, Bhaktapur"
House for Sale,3,2,Available,1,28 ft," 16,500,000.00 ",1883,"Sipadol, Suryabinayak-9, Bhaktapur"
House for Sale,4,2,Not Available,2,16 ft," 16,500,000.00 ",1603,"Bode, Madhyapur Thimi-7, Bhaktapur"
House for Sale,3,5,Available,3,14 ft," 16,500,000.00 ",2122,"Bode, Madhyapur Thimi-9, Bhaktapur"
House for Sale,4,4,Not Available,3,25 ft," 29,305,000.00 ",1410,"Thimi, Madhyapur Thimi-4, Bhaktapur"
House for Sale,4,4,Available,3,11 ft," 22,029,000.00 ",1990,"Thimi, Madhyapur Thimi-6, Bhaktapur"
House for Sale,3,2,Not Available,2,32 ft," 16,500,000.00 ",2002,"Nagadesh, Madhyapur Thimi-3, Bhaktapur"
House for Sale,4,2,Available,2,21 ft," 21,857,000.00 ",2224,"Nagadesh, Madhyapur Thimi-5, Bhaktapur"
House for Sale,4,3,Available,2,25 ft," 16,500,000.00 ",2903,"Kamalbinayak, Bhaktapur-9, Bhaktapur"
House for Sale,5,4,Available,2,16 ft," 16,500,000.00 ",1956,"Kamalbinayak, Bhaktapur-11, Bhaktapur"
House for Sale,5,3,Not Available,2,28 ft," 24,522,000.00 ",1596,"Byasi, Bhaktapur-4, Bhaktapur"
House for Sale,4,3,Available,1,9 ft," 29,000,000.00 ",1789,"Byasi, Bhaktapur-6, Bhaktapur"
House for Sale,5,2,Available,2,27 ft," 27,866,000.00 ",1092,"Dattatreya, Bhaktapur-2, Bhaktapur"
House for Sale,2,3,Available,2,22 ft," 16,500,000.00 ",1522,"Kapan, Budhanilkantha-9, Kathmandu"
House for Sale,3,2,Available,3,14 ft," 16,966,000.00 ",1636,"Kapan, Budhanilkantha-11, Kathmandu"
House for Sale,2,2,Not Available,4,19 ft," 21,920,000.00 ",1590,"Jorpati, Gokarneshwor-5, Kathmandu"
House for Sale,3,2,Available,4,15 ft," 28,364,000.00 ",1860,"Jorpati, Gokarneshwor-7, Kathmandu"
House for Sale,3,3,Not Available,3,22 ft," 16,500,000.00 ",1471,"Sundarijal, Gokarneshwor-2, Kathmandu"
House for Sale,3,2,Available,2,10 ft," 17,826,000.00 ",2248,"Sankhu, Shankharapur-4, Kathmandu"
House for Sale,5,2,Available,3,21 ft," 16,500,000.00 ",1800,"Sankhu, Shankharapur-6, Kathmandu"
House for Sale,3,3,Not Available,3,24 ft," 16,500,000.00 ",1796,"Pharping, Dakshinkali-6, Kathmandu"
House for Sale,3,2,Available,2,11 ft," 26,574,000.00 ",1668,"Pharping, Dakshinkali-8, Kathmandu"
House for Sale,4,3,Available,2,25 ft," 33,030,000.00 ",1862,"Tokha, Tokha-2, Kathmandu"
House for Sale,3,2,Available,3,15 ft," 18,655,000.00 ",2130,"Tokha, Tokha-4, Kathmandu"
House for Sale,5,2,Not Available,2,11 ft," 28,684,000.00 ",1453,"Gongabu, Tokha-8, Kathmandu"
House for Sale,2,3,Available,2,9 ft," 22,188,000.00 ",1536,"Gongabu, Tokha-10, Kathmandu"
House for Sale,6,1,Not Available,2,13 ft," 16,500,000.00 ",1678,"Samakhusi, Kathmandu-25, Kathmandu"
House for Sale,4,2,Not Available,2,29 ft," 22,186,000.00 ",1261,"Samakhusi, Kathmandu-27, Kathmandu"
House for Sale,3,2,Available,2,17 ft," 35,521,000.00 ",1472,"Balaju, Kathmandu-15, Kathmandu"
House for Sale,2,1,Available,2,11 ft," 18,927,000.00 ",1609,"Balaju, Kathmandu-17, Kathmandu"
House for Sale,5,5,Available,1,29 ft," 35,901,000.00 ",2149,"Kalanki, Kathmandu-13, Kathmandu"
House for Sale,4,2,Available,1,25 ft," 16,500,000.00 ",1905,"Kalanki, Kathmandu-15, Kathmandu"
House for Sale,4,4,Available,3,19 ft," 26,674,000.00 ",1877,"Thankot, Chandragiri-3, Kathmandu"
House for Sale,4,2,Available,2,9 ft," 19,880,000.00 ",2140,"Thankot, Chandragiri-5, Kathmandu"
House for Sale,2,3,Available,2,17 ft," 17,036,000.00 ",1745,"Naikap, Chandragiri-7, Kathmandu"
House for Sale,3,3,Not Available,2,11 ft," 19,918,000.00 ",1956,"Naikap, Chandragiri-9, Kathmandu"
House for Sale,3,3,Not Available,4,21 ft," 16,500,000.00 ",1758,"Sitapaila, Nagarjun-3, Kathmandu"
House for Sale,5,2,Not Available,2,23 ft," 17,585,000.00 ",1906,"Sitapaila, Nagarjun-5, Kathmandu"
House for Sale,4,2,Available,2,22 ft," 22,148,000.00 ",1566,"Goldhunga, Tarakeshwor-6, Kathmandu"
House for Sale,3,2,Available,3,15 ft," 34,677,000.00 ",824,"Goldhunga, Tarakeshwor-8, Kathmandu"
House for Sale,2,4,Available,3,21 ft," 16,500,000.00 ",1746,"Kirtipur, Kirtipur-9, Kathmandu"
House for Sale,3,4,Not Available,2,30 ft," 16,500,000.00 ",2369,"Kirtipur, Kirtipur-11, Kathmandu"
House for Sale,3,5,Available,3,32 ft," 16,500,000.00 ",2170,"Chovar, Kirtipur-5, Kathmandu"
House for Sale,4,2,Not Available,2,15 ft," 27,690,000.00 ",2186,"Chovar, Kirtipur-7, Kathmandu"
House for Sale,4,3,Available,2,28 ft," 21,898,000.00 ",2294,"Imadol, Mahalaxmi-3, Lalitpur"
House for Sale,5,4,Available,2,23 ft," 16,500,000.00 ",1835,"Imadol, Mahalaxmi-5, Lalitpur"
House for Sale,3,2,Not Available,1,20 ft," 23,576,000.00 ",1878,"Lubhu, Mahalaxmi-7, Lalitpur"
House for Sale,3,1,Available,3,25 ft," 19,960,000.00 ",1552,"Lubhu, Mahalaxmi-9, Lalitpur"
House for Sale,4,3,Not Available,2,22 ft," 28,286,000.00 ",1673,"Tikathali, Mahalaxmi-4, Lalitpur"
House for Sale,4,3,Not Available,2,28 ft," 16,500,000.00 ",2046,"Tikathali, Mahalaxmi-6, Lalitpur"
House for Sale,4,4,Available,3,31 ft," 16,841,000.00 ",2281,"Harisiddhi, Lalitpur-27, Lalitpur"
House for Sale,4,2,Available,3,32 ft," 16,500,000.00 ",1744,"Harisiddhi, Lalitpur-29, Lalitpur"
House for Sale,3,3,Available,2,20 ft," 16,500,000.00 ",1619,"Satdobato, Lalitpur-14, Lalitpur"
House for Sale,4,2,Not Available,3,16 ft," 21,614,000.00 ",1800,"Satdobato, Lalitpur-16, Lalitpur"
House for Sale,3,2,Available,2,22 ft," 21,313,000.00 ",2040,"Lagankhel, Lalitpur-11, Lalitpur"
House for Sale,2,2,Available,3,20 ft," 19,239,000.00 ",1222,"Lagankhel, Lalitpur-13, Lalitpur"
House for Sale,3,4,Available,3,8 ft," 17,480,000.00 ",881,"Jawalakhel, Lalitpur-3, Lalitpur"
House for Sale,2,3,Not Available,4,32 ft," 16,500,000.00 ",1579,"Jawalakhel, Lalitpur-5, Lalitpur"
House for Sale,4,3,Available,1,14 ft," 16,500,000.00 ",1311,"Pulchowk, Lalitpur-2, Lalitpur"
House for Sale,3,2,Not Available,1,16 ft," 16,740,000.00 ",1596,"Pulchowk, Lalitpur-4, Lalitpur"
House for Sale,4,4,Not Available,2,31 ft," 16,500,000.00 ",1740,"Bungamati, Karyabinayak-3, Lalitpur"
House for Sale,5,2,Available,2,8 ft," 18,000,000.00 ",1618,"Bungamati, Karyabinayak-5, Lalitpur"
House for Sale,3,4,Available,2,19 ft," 22,568,000.00 ",2380,"Khokana, Karyabinayak-4, Lalitpur"
House for Sale,3,2,Not Available,4,15 ft," 40,829,000.00 ",1930,"Khokana, Karyabinayak-6, Lalitpur"
House for Sale,4,2,Available,2,31 ft," 20,589,000.00 ",1920,"Godawari, Godawari-2, Lalitpur"
House for Sale,3,2,Not Available,2,18 ft," 21,283,000.00 ",2048,"Godawari, Godawari-4, Lalitpur"
House for Sale,2,2,Available,3,26 ft," 18,637,000.00 ",1344,"Chapagaun, Godawari-11, Lalitpur"
House for Sale,3,3,Available,2,24 ft," 16,500,000.00 ",2215,"Chapagaun, Godawari-13, Lalitpur"
House for Sale,3,3,Not Available,3,15 ft," 18,997,000.00 ",1769,"Balkot, Suryabinayak-2, Bhaktapur"
House for Sale,5,2,Available,1,10 ft," 19,668,000.00 ",2068,"Kamalbinayak, Bhaktapur-6, Bhaktapur"
House for Sale,5,4,Available,2,10 ft," 51,429,000.00 ",1371,"Duwakot, Changunarayan-4, Bhaktapur"
House for Sale,3,2,Available,1,8 ft," 17,778,000.00 ",1178,"Thimi, Madhyapur Thimi-3, Bhaktapur"
House for Sale,3,3,Available,1,12 ft," 21,661,000.00 ",2127,"Lokanthali, Madhyapur Thimi-1, Bhaktapur"
House for Sale,5,4,Available,4,17 ft," 18,935,000.00 ",1950,"Gongabu, Tokha-5, Kathmandu"
House for Sale,3,3,Available,2,14 ft," 16,500,000.00 ",1439,"Balaju, Kathmandu-16, Kathmandu"
House for Sale,4,2,Not Available,2,16 ft," 30,327,000.00 ",1452,"Baneshwor, Kathmandu-10, Kathmandu"
House for Sale,4,4,Available,2,14 ft," 25,937,000.00 ",2250,"Koteshwor, Kathmandu-32, Kathmandu"
House for Sale,5,3,Available,2,16 ft," 26,346,000.00 ",1324,"Sankhamul, Kathmandu-31, Kathmandu"
House for Sale,5,2,Available,3,15 ft," 16,500,000.00 ",2457,"Satdobato, Lalitpur-15, Lalitpur"
House for Sale,3,2,Not Available,1,19 ft," 33,651,000.00 ",1439,"Jawalakhel, Lalitpur-5, Lalitpur"
House for Sale,3,3,Available,3,9 ft," 16,500,000.00 ",2055,"Pulchowk, Lalitpur-3, Lalitpur"
House for Sale,3,3,Not Available,4,8 ft," 24,280,000.00 ",1668,"Patan Dhoka, Lalitpur-2, Lalitpur"
House for Sale,3,3,Available,2,23 ft," 46,113,000.00 ",2041,"Imadol, Mahalaxmi-4, Lalitpur"
House for Sale,5,4,Available,4,30 ft," 16,500,000.00 ",1582,"Tikathali, Mahalaxmi-5, Lalitpur"
House for Sale,3,3,Available,1,30 ft," 16,500,000.00 ",1734,"Lubhu, Mahalaxmi-7, Lalitpur"
House for Sale,2,2,Available,2,31 ft," 19,981,000.00 ",1816,"Balkumari, Lalitpur-9, Lalitpur"
House for Sale,4,2,Available,2,12 ft," 16,500,000.00 ",1399,"Sundarijal, Gokarneshwor-1, Kathmandu"
House for Sale,3,2,Available,3,10 ft," 16,500,000.00 ",2096,"Budhanilkantha, Budhanilkantha-12, Kathmandu"
House for Sale,3,3,Not Available,4,19 ft," 19,734,000.00 ",1594,"Sundarijal, Budhanilkantha-32, Kathmandu"
House for Sale,3,1,Available,2,15 ft," 16,500,000.00 ",1708,"Kapan, Budhanilkantha-30, Kathmandu"
House for Sale,3,3,Available,3,29 ft," 23,205,000.00 ",1402,"Gongabu, Kathmandu-22, Kathmandu"
House for Sale,5,3,Available,2,10 ft," 16,500,000.00 ",800,"Gokarna, Gokarneshwor-23, Kathmandu"
House for Sale,3,4,Not Available,2,8 ft," 35,690,000.00 ",1723,"Kapan, Budhanilkantha-24, Kathmandu"
House for Sale,4,2,Available,2,10 ft," 16,500,000.00 ",2765,"Budhanilkantha, Budhanilkantha-2, Kathmandu"
House for Sale,4,4,Available,4,12 ft," 16,879,000.00 ",2113,"Boudha, Gokarneshwor-1, Kathmandu"
House for Sale,3,2,Available,3,22 ft," 26,584,000.00 ",1792,"Hattigauda, Budhanilkantha-11, Kathmandu"
House for Sale,4,2,Not Available,2,21 ft," 16,500,000.00 ",1694,"Gongabu, Kathmandu-6, Kathmandu"
House for Sale,6,2,Available,2,10 ft," 21,029,000.00 ",1808,"Kalanki, Kathmandu-17, Kathmandu"
House for Sale,3,2,Available,2,8 ft," 32,387,000.00 ",2018,"Sankhamul, Kathmandu-14, Kathmandu"
House for Sale,3,3,Not Available,2,12 ft," 16,500,000.00 ",1327,"Sundarijal, Budhanilkantha-14, Kathmandu"
House for Sale,3,2,Not Available,2,30 ft," 20,672,000.00 ",2245,"Basundhara, Tokha-2, Kathmandu"
House for Sale,3,2,Available,3,21 ft," 21,303,000.00 ",2086,"Gongabu, Tokha-20, Kathmandu"
House for Sale,2,3,Not Available,2,14 ft," 26,249,000.00 ",2087,"Balaju, Kathmandu-23, Kathmandu"
House for Sale,4,3,Available,2,16 ft," 16,500,000.00 ",1975,"Dhapasi, Tokha-32, Kathmandu"
House for Sale,4,3,Available,2,22 ft," 16,500,000.00 ",1807,"Gokarna, Gokarneshwor-22, Kathmandu"
House for Sale,2,3,Available,3,22 ft," 23,658,000.00 ",2069,"Kapan, Budhanilkantha-21, Kathmandu"
House for Sale,3,3,Available,3,17 ft," 21,622,000.00 ",2036,"Boudha, Gokarneshwor-15, Kathmandu"
House for Sale,5,2,Available,1,20 ft," 21,223,000.00 ",1658,"Gokarna, Gokarneshwor-21, Kathmandu"
House for Sale,3,2,Not Available,3,26 ft," 22,054,000.00 ",1570,"Budhanilkantha, Budhanilkantha-24, Kathmandu"
House for Sale,3,2,Available,2,14 ft," 16,500,000.00 ",1840,"Boudha, Gokarneshwor-19, Kathmandu"
House for Sale,3,4,Available,1,24 ft," 21,069,000.00 ",2419,"Gongabu, Kathmandu-25, Kathmandu"
House for Sale,4,3,Available,2,27 ft," 21,588,000.00 ",1304,"Chhetrapati, Kathmandu-28, Kathmandu"
House for Sale,3,2,Not Available,2,11 ft," 16,500,000.00 ",1212,"Baniyatar, Tokha-18, Kathmandu"
House for Sale,4,2,Available,2,12 ft," 40,497,000.00 ",1865,"Jorpati, Gokarneshwor-2, Kathmandu"
House for Sale,4,4,Available,4,30 ft," 23,207,000.00 ",1820,"Sundarijal, Budhanilkantha-8, Kathmandu"
House for Sale,3,2,Available,3,14 ft," 16,500,000.00 ",1869,"Boudha, Gokarneshwor-29, Kathmandu"
House for Sale,4,3,Available,3,20 ft," 24,966,000.00 ",1897,"Jorpati, Gokarneshwor-5, Kathmandu"
House for Sale,3,3,Not Available,2,22 ft," 16,500,000.00 ",1710,"Koteshwor, Kathmandu-24, Kathmandu"
House for Sale,4,3,Not Available,2,18 ft," 26,305,000.00 ",2395,"Hattigauda, Budhanilkantha-28, Kathmandu"
House for Sale,4,1,Available,3,11 ft," 30,519,000.00 ",1159,"Sundarijal, Budhanilkantha-5, Kathmandu"
House for Sale,4,4,Not Available,2,20 ft," 16,500,000.00 ",1468,"Gongabu, Kathmandu-31, Kathmandu"
House for Sale,2,4,Available,1,14 ft," 28,226,000.00 ",1758,"Sundarijal, Gokarneshwor-25, Kathmandu"
House for Sale,4,3,Not Available,2,26 ft," 22,647,000.00 ",1142,"Tokha, Tokha-12, Kathmandu"
House for Sale,3,3,Available,3,29 ft," 26,675,000.00 ",1729,"Dhapasi, Tokha-15, Kathmandu"
House for Sale,3,4,Available,2,9 ft," 41,002,000.00 ",2464,"Kapan, Budhanilkantha-24, Kathmandu"
House for Sale,2,3,Available,1,17 ft," 17,405,000.00 ",1808,"Budhanilkantha, Budhanilkantha-15, Kathmandu"
House for Sale,4,2,Available,3,20 ft," 16,500,000.00 ",1892,"Jorpati, Gokarneshwor-6, Kathmandu"
House for Sale,4,3,Available,2,32 ft," 16,500,000.00 ",1295,"Gokarna, Gokarneshwor-21, Kathmandu"
House for Sale,2,3,Available,2,28 ft," 16,500,000.00 ",1553,"Sundarijal, Gokarneshwor-9, Kathmandu"
House for Sale,4,2,Available,2,13 ft," 18,617,000.00 ",1649,"Budhanilkantha, Budhanilkantha-15, Kathmandu"
House for Sale,3,3,Not Available,2,19 ft," 22,007,000.00 ",1672,"Tokha, Tokha-27, Kathmandu"
House for Sale,4,4,Available,3,19 ft," 21,447,000.00 ",2312,"Budhanilkantha, Budhanilkantha-22, Kathmandu"
House for Sale,3,4,Available,2,27 ft," 26,730,000.00 ",2023,"Koteshwor, Kathmandu-1, Kathmandu"
House for Sale,4,2,Not Available,2,18 ft," 19,300,000.00 ",1355,"Budhanilkantha, Budhanilkantha-6, Kathmandu"
House for Sale,3,2,Available,3,30 ft," 34,340,000.00 ",1898,"Budhanilkantha, Budhanilkantha-1, Kathmandu"
House for Sale,5,3,Available,3,32 ft," 17,271,000.00 ",1999,"Dhapasi, Tokha-10, Kathmandu"
House for Sale,3,4,Available,3,14 ft," 56,996,000.00 ",2256,"Gokarna, Gokarneshwor-7, Kathmandu"
House for Sale,3,2,Not Available,2,8 ft," 24,660,000.00 ",2432,"Gongabu, Tokha-19, Kathmandu"
House for Sale,3,4,Available,2,8 ft," 16,500,000.00 ",1393,"Kapan, Budhanilkantha-29, Kathmandu"
House for Sale,5,4,Available,4,32 ft," 16,500,000.00 ",1475,"Sankhamul, Kathmandu-8, Kathmandu"
House for Sale,5,3,Not Available,3,32 ft," 23,287,000.00 ",1296,"Kirtipur, Kathmandu-6, Kathmandu"
House for Sale,3,3,Not Available,1,27 ft," 17,558,000.00 ",1706,"Baniyatar, Tokha-9, Kathmandu"
House for Sale,4,2,Available,1,20 ft," 25,547,000.00 ",1986,"Balaju, Kathmandu-19, Kathmandu"
House for Sale,4,1,Available,2,16 ft," 23,201,000.00 ",2194,"Koteshwor, Kathmandu-27, Kathmandu"
House for Sale,4,2,Available,4,10 ft," 18,649,000.00 ",1769,"Gongabu, Tokha-32, Kathmandu"
House for Sale,4,4,Not Available,2,14 ft," 16,500,000.00 ",1672,"Gokarna, Gokarneshwor-9, Kathmandu"
House for Sale,3,1,Available,2,13 ft," 16,500,000.00 ",1860,"Baneshwor, Kathmandu-17, Kathmandu"
House for Sale,2,2,Available,2,15 ft," 16,500,000.00 ",1465,"Hattigauda, Budhanilkantha-20, Kathmandu"
House for Sale,5,2,Not Available,3,16 ft," 27,044,000.00 ",2635,"Baniyatar, Tokha-31, Kathmandu"
House for Sale,5,3,Available,3,12 ft," 20,917,000.00 ",1156,"Basundhara, Tokha-31, Kathmandu"
House for Sale,4,4,Available,2,8 ft," 16,500,000.00 ",1873,"Sundarijal, Budhanilkantha-8, Kathmandu"
House for Sale,3,2,Available,3,26 ft," 20,577,000.00 ",2609,"Baneshwor, Kathmandu-20, Kathmandu"
House for Sale,3,2,Available,4,17 ft," 22,399,000.00 ",1802,"Boudha, Gokarneshwor-12, Kathmandu"
House for Sale,4,3,Available,2,19 ft," 16,500,000.00 ",1723,"Kalanki, Kathmandu-15, Kathmandu"
House for Sale,5,2,Available,2,31 ft," 20,418,000.00 ",1657,"Budhanilkantha, Budhanilkantha-20, Kathmandu"
House for Sale,5,2,Available,2,22 ft," 19,652,000.00 ",1727,"Budhanilkantha, Budhanilkantha-9, Kathmandu"
House for Sale,4,2,Available,3,29 ft," 16,500,000.00 ",2349,"Sundarijal, Budhanilkantha-13, Kathmandu"
House for Sale,4,2,Not Available,2,31 ft," 22,154,000.00 ",915,"Tokha, Tokha-24, Kathmandu"
House for Sale,2,2,Available,3,16 ft," 24,028,000.00 ",2413,"Sundarijal, Gokarneshwor-14, Kathmandu"
House for Sale,3,2,Not Available,3,27 ft," 29,611,000.00 ",1230,"Sundarijal, Gokarneshwor-8, Kathmandu"
House for Sale,5,2,Available,2,24 ft," 29,266,000.00 ",1693,"Koteshwor, Kathmandu-28, Kathmandu"
House for Sale,4,4,Not Available,4,24 ft," 16,500,000.00 ",1628,"Basundhara, Tokha-20, Kathmandu"
House for Sale,2,2,Not Available,2,27 ft," 16,500,000.00 ",2035,"Gokarna, Gokarneshwor-15, Kathmandu"
House for Sale,3,3,Available,2,19 ft," 23,592,000.00 ",1160,"Kapan, Budhanilkantha-11, Kathmandu"
House for Sale,4,3,Not Available,3,14 ft," 23,581,000.00 ",1984,"Chabahil, Kathmandu-29, Kathmandu"
House for Sale,2,1,Not Available,3,9 ft," 23,593,000.00 ",2609,"Hattigauda, Budhanilkantha-18, Kathmandu"
House for Sale,3,3,Available,2,10 ft," 59,000,000.00 ",1254,"Boudha, Gokarneshwor-18, Kathmandu"
